SPlusCode,Fullname,Store,Region,ActivityCode,IsLearned,SecondTest,Score
CE.DMX30076,30076,ĐML_LCA_LCA - Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX48307,48307,ĐML_LCA_LCA - Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX60967,60967,ĐML_LCA_LCA - Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX66371,66371,ĐML_LCA_LCA - Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX66381,66381,ĐML_LCA_LCA - Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX105351,105351,ĐML_LCA_LCA - Trần Hưng Đạo,Miền Bắc 1,,,0,0
CE.DMX14135,14135,ĐML_LCH_LCH - Tân Phong,Miền Bắc 1,,,0,0
CE.DMX17159,17159,ĐML_LCH_LCH - Tân Phong,Miền Bắc 1,,,0,0
CE.DMX23233,23233,ĐML_LCH_LCH - Tân Phong,Miền Bắc 1,,,0,0
CE.DMX35336,35336,ĐML_LCH_LCH - Tân Phong,Miền Bắc 1,,,0,0
CE.DMX75063,75063,ĐML_LCH_LCH - Tân Phong,Miền Bắc 1,,,0,0
CE.DMX98428,98428,ĐML_LCH_LCH - Tân Phong,Miền Bắc 1,,,0,0
CE.DMX98442,98442,ĐML_LCH_LCH - Tân Phong,Miền Bắc 1,,,0,0
CE.DMX115840,115840,ĐML_LCH_LCH - Tân Phong,Miền Bắc 1,,,0,0
CE.DMX14904,14904,ĐML_PTH_PTH - Thị xã Phú Thọ,Miền Bắc 1,,,0,0
CE.DMX31288,31288,ĐML_PTH_PTH - Thị xã Phú Thọ,Miền Bắc 1,,,0,0
CE.DMX43708,43708,ĐML_PTH_PTH - Thị xã Phú Thọ,Miền Bắc 1,,,0,0
CE.DMX44158,44158,ĐML_PTH_PTH - Thị xã Phú Thọ,Miền Bắc 1,,,0,0
CE.DMX61500,61500,ĐML_PTH_PTH - Thị xã Phú Thọ,Miền Bắc 1,,,0,0
CE.DMX63566,63566,ĐML_PTH_PTH - Thị xã Phú Thọ,Miền Bắc 1,,,0,0
CE.DMX74833,74833,ĐML_PTH_PTH - Thị xã Phú Thọ,Miền Bắc 1,,,0,0
CE.DMX91449,91449,ĐML_PTH_PTH - Thị xã Phú Thọ,Miền Bắc 1,,,0,0
CE.DMX94087,94087,ĐML_PTH_PTH - Thị xã Phú Thọ,Miền Bắc 1,,,0,0
CE.DMX95396,95396,ĐML_PTH_PTH - Thị xã Phú Thọ,Miền Bắc 1,,,0,0
CE.DMX107723,107723,ĐML_PTH_PTH - Thị xã Phú Thọ,Miền Bắc 1,,,0,0
CE.DMX20556,20556,ĐML_PTH_VTR - 1606A Hùng Vương,Miền Bắc 1,,,0,0
CE.DMX31963,31963,ĐML_PTH_VTR - 1606A Hùng Vương,Miền Bắc 1,,,0,0
CE.DMX41638,41638,ĐML_PTH_VTR - 1606A Hùng Vương,Miền Bắc 1,,,0,0
CE.DMX49750,49750,ĐML_PTH_VTR - 1606A Hùng Vương,Miền Bắc 1,,,0,0
CE.DMX50655,50655,ĐML_PTH_VTR - 1606A Hùng Vương,Miền Bắc 1,,,0,0
CE.DMX54815,54815,ĐML_PTH_VTR - 1606A Hùng Vương,Miền Bắc 1,,,0,0
CE.DMX61473,61473,ĐML_PTH_VTR - 1606A Hùng Vương,Miền Bắc 1,,,0,0
CE.DMX61482,61482,ĐML_PTH_VTR - 1606A Hùng Vương,Miền Bắc 1,,,0,0
CE.DMX61495,61495,ĐML_PTH_VTR - 1606A Hùng Vương,Miền Bắc 1,,,0,0
CE.DMX61504,61504,ĐML_PTH_VTR - 1606A Hùng Vương,Miền Bắc 1,,,0,0
CE.DMX98380,98380,ĐML_PTH_VTR - 1606A Hùng Vương,Miền Bắc 1,,,0,0
CE.DMX31960,31960,ĐML_PTH_VTR - 85 Trần Nguyên Hãn,Miền Bắc 1,,,0,0
CE.DMX44516,44516,ĐML_PTH_VTR - 85 Trần Nguyên Hãn,Miền Bắc 1,,,0,0
CE.DMX60521,60521,ĐML_PTH_VTR - 85 Trần Nguyên Hãn,Miền Bắc 1,,,0,0
CE.DMX61477,61477,ĐML_PTH_VTR - 85 Trần Nguyên Hãn,Miền Bắc 1,,,0,0
CE.DMX61483,61483,ĐML_PTH_VTR - 85 Trần Nguyên Hãn,Miền Bắc 1,,,0,0
CE.DMX68217,68217,ĐML_PTH_VTR - 85 Trần Nguyên Hãn,Miền Bắc 1,,,0,0
CE.DMX113215,113215,ĐML_PTH_VTR - 85 Trần Nguyên Hãn,Miền Bắc 1,,,0,0
CE.DMX113218,113218,ĐML_PTH_VTR - 85 Trần Nguyên Hãn,Miền Bắc 1,,,0,0
CE.DMX14485,14485,ĐML_SLA_SLA - 437 Chu Văn Thịnh (Chiềng Lề),Miền Bắc 1,,,0,0
CE.DMX26167,26167,ĐML_SLA_SLA - 437 Chu Văn Thịnh (Chiềng Lề),Miền Bắc 1,,,0,0
CE.DMX28798,28798,ĐML_SLA_SLA - 437 Chu Văn Thịnh (Chiềng Lề),Miền Bắc 1,,,0,0
CE.DMX31538,31538,ĐML_SLA_SLA - 437 Chu Văn Thịnh (Chiềng Lề),Miền Bắc 1,,,0,0
CE.DMX31553,31553,ĐML_SLA_SLA - 437 Chu Văn Thịnh (Chiềng Lề),Miền Bắc 1,,,0,0
CE.DMX32104,32104,ĐML_SLA_SLA - 437 Chu Văn Thịnh (Chiềng Lề),Miền Bắc 1,,,0,0
CE.DMX52259,52259,ĐML_SLA_SLA - 437 Chu Văn Thịnh (Chiềng Lề),Miền Bắc 1,,,0,0
CE.DMX56948,56948,ĐML_SLA_SLA - 437 Chu Văn Thịnh (Chiềng Lề),Miền Bắc 1,,,0,0
CE.DMX63915,63915,ĐML_SLA_SLA - 437 Chu Văn Thịnh (Chiềng Lề),Miền Bắc 1,,,0,0
CE.DMX67710,67710,ĐML_SLA_SLA - 437 Chu Văn Thịnh (Chiềng Lề),Miền Bắc 1,,,0,0
CE.DMX76543,76543,ĐML_SLA_SLA - 437 Chu Văn Thịnh (Chiềng Lề),Miền Bắc 1,,,0,0
CE.DMX115868,115868,ĐML_SLA_SLA - 437 Chu Văn Thịnh (Chiềng Lề),Miền Bắc 1,,,0,0
CE.DMX18718,18718,ĐML_VPH_LTH - Lập Thạch,Miền Bắc 1,,,0,0
CE.DMX30507,30507,ĐML_VPH_LTH - Lập Thạch,Miền Bắc 1,,,0,0
CE.DMX33214,33214,ĐML_VPH_LTH - Lập Thạch,Miền Bắc 1,,,0,0
CE.DMX39348,39348,ĐML_VPH_LTH - Lập Thạch,Miền Bắc 1,,,0,0
CE.DMX42557,42557,ĐML_VPH_LTH - Lập Thạch,Miền Bắc 1,,,0,0
CE.DMX62644,62644,ĐML_VPH_LTH - Lập Thạch,Miền Bắc 1,,,0,0
CE.DMX100328,100328,ĐML_VPH_LTH - Lập Thạch,Miền Bắc 1,,,0,0
CE.DMX113214,113214,ĐML_VPH_LTH - Lập Thạch,Miền Bắc 1,,,0,0
CE.DMX38191,38191,ĐML_VPH_PYE - 389A Hai Bà Trưng,Miền Bắc 1,,,0,0
CE.DMX42171,42171,ĐML_VPH_PYE - 389A Hai Bà Trưng,Miền Bắc 1,,,0,0
CE.DMX44893,44893,ĐML_VPH_PYE - 389A Hai Bà Trưng,Miền Bắc 1,,,0,0
CE.DMX45540,45540,ĐML_VPH_PYE - 389A Hai Bà Trưng,Miền Bắc 1,,,0,0
CE.DMX49355,49355,ĐML_VPH_PYE - 389A Hai Bà Trưng,Miền Bắc 1,,,0,0
CE.DMX60750,60750,ĐML_VPH_PYE - 389A Hai Bà Trưng,Miền Bắc 1,,,0,0
CE.DMX77486,77486,ĐML_VPH_PYE - 389A Hai Bà Trưng,Miền Bắc 1,,,0,0
CE.DMX79333,79333,ĐML_VPH_PYE - 389A Hai Bà Trưng,Miền Bắc 1,,,0,0
CE.DMX98449,98449,ĐML_VPH_PYE - 389A Hai Bà Trưng,Miền Bắc 1,,,0,0
CE.DMX100090,100090,ĐML_VPH_PYE - 389A Hai Bà Trưng,Miền Bắc 1,,,0,0
CE.DMX20717,20717,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX26966,26966,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
CE.DMX30829,30829,ĐML_VPH_VYE - 512 Mê Linh,Miền Bắc 1,,,0,0
